id,imię,nazwisko,płeć,PESEL,miasto,adres,karta_lojalnościowa,telefon,email
454,Nastia,Kałużny,K,00232183674,Wrocław,ul. Pomorska 23/17,False,48089311640,nas.ka@onet.pl
455,Mark,Klimaszewski,M,96042013032,Wrocław,ul. Cypriana Kamila Norwida 57,False,48778448327,klimas.mark1996@gmail.com
456,Małgorzata,Mazurczak,K,77122382774,Wrocław,ul. Warszawska 6/6,False,48001587766,m_mazurc1977@wp.pl
457,Maksymilian,Frelich,M,08251326856,Wrocław,ul. Jabłoniowa 98/20,False,48482292036,mfrelich@wp.pl
458,Piotr,Matysik,M,91021960895,Kalisz,ul. Widokowa 97/22,False,48546251506,piomatysi1991@onet.pl
459,Natalia,Marchenko,K,92080634756,Wrocław,ul. Polna 59,False,48047993457,n_marchenko@o2.pl
460,Jerzy,Zakrzewski,M,09273028779,Rybnik,ul. Różana 62/8,False,48336156430,q404bdrt9a@onet.pl
461,Adrian,Grzeszczyk,M,,Wrocław,ul. Weterynaryjna 39/47,False,48437350300,a_grzeszczyk78@wp.pl
462,Tomasz,Bobola,M,77041361210,Wrocław,ul. Skandynawska 33/29,False,48272870066,bobol-tom1977@gmail.com
463,Magdalena,Papierska,K,74052381758,Olesno,ul. Leśnych Malin 67/16,False,48001622176,pap_m@vp.pl
464,Janusz,Olszyński,M,83060273236,Wrocław,ul. Śnieżna 47,False,48978894604,olszynjanus83@vp.pl
465,Zofia,Matlakowska,K,07290769574,Gdańsk,ul. Henryka Wieniawskiego 6/3,False,48301386706,zof.matl2007@onet.pl
466,Konrad,Korek,M,03292796839,Bydgoszcz,ul. Jutrzenki 34,False,48945346273,k_k2003@wp.pl
467,Eliasz,Tarnopolski,M,92050618171,Wrocław,ul. Robotnicza 69/18,False,48693036444,e.tarnopolski9514@o2.pl
468,Halina,Wierzbicka,K,82012350599,Wrocław,ul. Wrzosowa 74/39,False,48640405756,mfa4b7x1w5kwg@gmail.com
469,Mateusz,Krawiec,M,02302610433,Wrocław,ul. Długa 43/20,False,48393593828,mat.kraw@wp.pl
470,Nazarii,Rogalewicz,M,81121212491,Wrocław,ul. Piaskowa 28/19,False,48109051619,p4jr47tuu@interia.pl
471,Paulina,Krzyżanowska,K,10261776556,Wrocław,ul. Fabryczna 40/14,False,48993877982,p-krzy10@gmail.com
472,Marianna,Wałęsa,K,93110863614,Wrocław,ul. Artura Grottgera 2,False,48708126782,wales.m4477@gmail.com
473,Agata,Gońda,K,02261577435,Tczew,ul. Grochowa 54/27,False,48523637937,jr821n3924b@interia.pl
474,Mariusz,Bednarek,M,89052245191,Poznań,ul. Zamojska 51,False,48074284661,mar.bedn1334@outlook.com
475,Krzysztof,Nowosad,M,91031612014,Stargard,ul. Dębowa 24,False,48608139123,krznowosa91@gmail.com
476,Valeriia,Sitkiewicz,K,82100204519,Kożuchów,ul. Zacisze 54,False,48802354440,v_sitkiewicz@yahoo.com
477,Paweł,Kowolik,M,70040413094,Otyń,ul. Jesienna 36/45,False,48599244436,pawkowoli1970@onet.pl
478,Oksana,Markowska,K,74040297270,Wrocław,ul. Henryka Sienkiewicza 33/32,True,48768593553,omarkowska1974@wp.pl
479,Agnieszka,Zahurska,K,01262386275,Wrocław,ul. Słowicza 46/3,False,48200626323,zahurska20019@o2.pl
480,Marlena,Pawełko,K,03292919610,Wrocław,"ul. Tadeusza Zawadzkiego ""Zośki"" 87",False,48304408334,vkacxn9a800b63q@gmail.com
481,Jacek,Głowania,M,05291429156,Wrocław,ul. Sosnowa 83/2,False,48267672634,jglowania2005@gmail.com
482,Kazimiera,Pabiańska,K,06260748935,Biała Podlaska,ul. Złota 26,False,48330225400,pabianska20063@onet.pl
483,Lidia,Foltyn,K,90060342354,Elbląg,ul. Pagórkowa 96/10,False,48213319282,fip98vf578v1hn0@opayq.com
484,Patryk,Szymański,M,98011120178,Wschowa,ul. Podgórna 10/27,False,48705712172,p-szyman1998@o2.pl
485,Marta,Kraszewska,K,74012454212,Wrocław,ul. Opolska 72/6,False,48761140165,kr1974@wp.pl
486,Iryna,Fedorova,K,72051313732,Wrocław,ul. Trybunalska 31/32,False,48562481687,iry_fedor72@gazeta.pl
487,Wiktor,Bogusz,M,10222172456,Wrocław,ul. Strumykowa 81/4,False,48470179156,bogusz7@outlook.com
488,Adam,Fąfara,M,76012132392,Łódź,ul. Leśna 66/12,False,48756648046,ejkjh7xjuf@opayq.com
489,Elżbieta,Balzam,K,00321427018,Wrocław,ul. Włodzimierza Tetmajera 82/40,False,48680792767,e-ba00@protonmail.com
490,Robert,Wodowski,M,06273051077,Wrocław,ul. Jedności Robotniczej 10,False,48198441761,wodows.r2006@gmail.com
491,Karol,Kozłowski,M,73020997935,Wrocław,ul. Nurzecka 16/38,False,48491091689,k-kozlowski9090@onet.pl
492,Aleksandra,Godawa,K,78102284132,Opole,ul. Leśna 32,False,48177003929,tqc6174r@opayq.com
493,Robert,Kowalczyk,M,96070944351,Wrocław,ul. Jacka Malczewskiego 65/30,False,48378029010,r.kowalczy@gmail.com
494,Leszek,Sikoń,M,74102076214,Wrocław,ul. Gruszkowa 25/21,False,48817839863,sik_lesz1974@interia.pl
495,Dawid,Depcik,M,97090793732,Wrocław,ul. Korczaka 90/36,False,48330218259,d_depcik@wp.pl
496,Piotr,Denzhanskyi,M,88013017518,Wrocław,ul. Józefa Ignacego Kraszewskiego 48/39,False,48226511522,pdenzhanskyi1988@wp.pl
497,Marcin,Wydmuch,M,75122761931,Wrocław,ul. Akacjowa 61,False,48401864853,w_marcin75@gmail.com
498,Maurycy,Telbyło,M,07230286699,Kórnik,ul. Słoneczna 36/45,False,48290928939,telbylo20074@outlook.com
499,Amadeusz,Bareja,M,03262041011,Wrocław,ul. Zgody 19/15,True,48959541423,a-barej2003@onet.pl
500,Oliwia,Kuchmenko,K,82092415818,Solec Kujawski,ul. Tomasza Rychlińskiego 53/26,False,48388195415,okuchmenko1982@gmail.com
501,Dawid,Zozula,M,04290253678,Świnoujście,ul. Słoneczna 20,False,48282196429,daw-zozu@wp.pl
502,Agnieszka,Brodziak,K,80062023937,Wrocław,ul. Nowowiejska 65/48,False,48956296481,a_brodzi1980@o2.pl
503,Krzysztof,Tarwacki,M,,Wrocław,ul. Racławicka 26/12,False,48997979909,k8u8nmuxsjb827@interia.pl
504,Pola,Bielańska,K,89072590217,Wrocław,ul. Wakacyjna 89/16,False,48525892980,p.bielansk89@onet.pl
505,Kamil,Bienias,M,98073074495,Wrocław,ul. Jagodowa 89,False,48184231818,kbienia1998@onet.pl
506,Magdalena,Aksonova,K,07260986493,Wrocław,ul. Bolesława Gotwalda 90,False,48746507487,aksonomagdal@int.pl
507,Ireneusz,Błażejowski,M,05300891817,Wrocław,ul. Fiołkowa 58/25,False,48672388041,blazejowski20050@interia.pl
508,Krzysztof,Grygier,M,90052491277,Trzciel,ul. Wandy Siemaszkowej 89/19,False,48815815645,a7128tjw1y69@opayq.com
509,Mirosław,Tomczak,M,75112415679,Wrocław,ul. Podlaska 79,False,48805990741,mirtom1975@wp.pl
510,Jacek,Němeček,M,95062750318,Zielona Góra,al. Tysiąclecia 38/32,False,48291716767,nem-jacek8137@o2.pl
511,Monika,Dryla,K,97050268890,Krotoszyn,ul. Urana 69/10,False,48972767244,fcg0vr3dom5f@opayq.com
512,Bronisław,Kuczyński,M,06232509553,Łódź,ul. Olchowa 42,False,48985642892,kuczyns_bronisl@interia.pl
513,Piotr,Niezgoda,M,93020444855,Wrocław,ul. Michała Drzymały 65/4,False,48783205314,p-niezgod93@onet.pl
514,Mateusz,Dreszer,M,05230955656,Sława,ul. Na Wzgórzu 83/32,False,48424691176,m_dresz05@outlook.com
515,Brunon,Nowotnik,M,79041606557,Wrocław,ul. Żernicka 29,False,48129117301,bnowo5123@wp.pl
516,Kacper,Tishyn,M,99041892996,Żory,ul. Brzozowa 51/42,False,48402582989,tishyn992@wp.pl
517,Zofia,Rzepińska,K,73020595294,Działoszyce,ul. Grunwaldzka 95/20,False,48205346952,rzepinska4@wp.pl
518,Izabella,Krawczyk,K,00230856990,Poznań,ul. Miodowa 36/48,False,48002337523,krawczyk8@onet.pl
519,Zenon,Nurkiewicz,M,74040735251,Wrocław,ul. Krokusów 7/30,False,48626769399,s8997iw32321l@opayq.com
520,Mateusz,Małek,M,72050553197,Wrocław,ul. Stanisława Wygodzkiego 81/32,False,48491492420,m_male@gmail.com
521,Dorota,Kukuła,K,81032740636,Toruń,ul. Podkącie 11/10,False,48774335169,kukul-dorot1981@wp.pl
522,Mirosław,Leszczyński,M,82020229175,Kalisz,ul. Władysława Nałęcza Małachowskiego 31,False,48269136731,leszcz-miroslaw1982@gmail.com
523,Józef,Marczak,M,08300510515,Piła,ul. Polna 40/1,False,48898613407,mar.jozef@wp.pl
524,Sandra,Fryc,K,74090236078,Wrocław,ul. Akacjowa 85/45,False,48562194296,san-fry@onet.pl
525,Renata,Sułek,K,83063036230,Wrocław,ul. Zaciszna 36,False,48759177780,cx07351z4ws4r3m3@o2.pl
526,Viktoriia,Borysiewicz,K,02301137579,Wrocław,ul. Sosnowa 30,False,48922316672,vik-borys02@interia.pl
527,Piotr,Bąkowski,M,70101532339,Wrocław,ul. Terenowa 16,False,48089811068,bakowsk-piotr@onet.pl
528,Tomasz,Klimczak,M,06290244854,Wrocław,ul. Lipowa 73/22,False,48871999740,t.klimczak@gazeta.pl
529,Mariusz,Stroński,M,82092880850,Legnica,ul. Kościuszki 43/47,False,48834298421,marstro@onet.pl
530,Danuta,Kowalska,K,85080696574,Wrocław,ul. Pawła Wapiennika 34,False,48786563342,dkowalsk85@wp.pl
531,Ihor,Szulc,M,07321782752,Drawsko Pomorskie,Rynek 1,False,48486370219,szulih07@gmail.com
532,Zygmunt,Lesiczka,M,81011557594,Bielsko-Biała,ul. Różana 15,False,48624752194,lesiczka814@o2.pl
533,Barbara,Nasiłowska,K,86031272218,Opole,ul. Leszczynowa 28/30,False,48112930190,nbarbara1986@onet.pl
534,Katarzyna,Bilska,K,00280614577,Wrocław,ul. św. Barbary 60/43,False,48811987953,bilkatar@o2.pl
535,Jakub,Kosmala,M,79071088110,Bydgoszcz,ul. Lokalna 81/44,True,48629649019,j.kosmal1979@wp.pl
536,Scott,Herasimenko,M,90072006132,Prudnik,ul. Lepsza 15/7,False,48059207698,sher2573@interia.pl
537,Jolanta,Forycki,K,74073040731,Wrocław,ul. Bohuna 56/25,False,48037199987,xjo1ob6e@opayq.com
538,Jan,Lidzbarski,M,01250487557,Wrocław,ul. Bukowa 29/25,False,48142617389,lidzbarski4@onet.pl
539,Oleksandr,Gbur,M,79050635458,Gdańsk,ul. płk. Andrzeja Kopy 87/39,False,48883409862,gbu-ole79@gmail.com
540,Dominik,Zubar,M,82072505391,Wrocław,pl. Jana Pawła II 49/22,False,48711747570,d.zubar82@o2.pl
541,Anton,Godowski,M,79060908614,Opole,ul. Czółenkowa 84/17,False,48813315674,a-godow@onet.pl
542,Tetiana,Krudysz,K,73061067431,Krapkowice,ul. Wrzosowa 42/13,False,48432018510,tet.kr@gmail.com
543,Wiesława,Błońska,K,91112571977,Wrocław,ul. Polna 86/18,False,48074005804,bwies91@gmail.com
544,Ignacy,Warszawski,M,00290957451,Pruszków,ul. Widokowa 8,False,48632729057,war-ignacy8162@o2.pl
545,Agnieszka,Kępa,K,87111777018,Wrocław,ul. Leśna 48/23,False,48725227423,akepa87@gmail.com
546,Irena,Słowińska,K,,Lędziny,ul. Józefa Marjańskiego 15/7,False,48940935853,i-slowi75@gmail.com
547,Monika,Lewicka,K,82070233337,Wrocław,ul. Sosnowa 53/30,False,48709087297,lewicka19821@gmail.com
548,Jacek,Matusiak,M,89021562551,Białystok,ul. Murna 27/7,False,48055813457,matusiak19890@gmail.com
549,Beata,Szlensog,K,83120667616,Poznań,ul. Poliwodzka 64,False,48848231516,b-szlen83@interia.pl
550,Igor,Tarnowski,M,03271821235,Wrocław,ul. Spacerowa 74,False,48022238032,i.tarn@gazeta.pl
551,Daria,Lembicz,K,72060391910,Wrocław,ul. Kasztanowa 44,False,48748642774,l461pen832m103@opayq.com
552,Paulina,Gratkowska,K,05281132518,Wrocław,ul. Hetmana Jana Karola Chodkiewicza 49/51,False,48602676557,g_pau567@onet.pl
553,Jolanta,Czarnecka,K,09230395272,Kielce,ul. 1 Maja 64/35,False,48280894980,j-czarneck2009@gmail.com
554,Bogumiła,Lorkowska,K,06221362710,Słupsk,ul. Zielona 19/32,False,48748698462,lorkowska067@gmail.com
555,Hanna,Jabłońska,K,70081802039,Wrocław,ul. Jodłowa 34,False,48892769549,hjablonsk70@wp.pl
556,Artur,Budziewski,M,99110715371,Wrocław,ul. Krucza 78,False,48502123541,budzi-artu99@interia.pl
557,Jan,Rostek,M,96111271958,Wrocław,ul. Łabędzia 50,False,48969424348,rostek2@wp.pl
558,Kamil,Pasek,M,10302168498,Gorzów Wielkopolski,ul. Zaciszna 41/46,False,48621414566,pase-kami@onet.pl
559,Maria,Serkowska,K,77091101671,Wrocław,ul. Rybacka 21,False,48275774167,serkowska775@o2.pl
560,Milena,Gajak,K,07222099117,Milanówek,ul. Mosiężna 43/47,False,48409815460,mgajak1450@onet.pl
561,Jakub,Gruszka,M,84010402476,Wrocław,ul. Główna 38,False,48145142895,grusz-jakub1984@wp.pl
562,Ewa,Cichowska,K,79103120795,Złotów,ul. Hiszpańska 96/1,False,48737183242,o73zk928d4f89o1@opayq.com
563,Zuzanna,Malinowska,K,80102659351,Wrocław,ul. Przy Nasypie 81,False,48049360866,lw627ox48@interia.pl
564,Malwina,Woda,K,96040111091,Słupsk,ul. Poświętna 94/11,False,48636328646,hs38fc648tzp452@opayq.com
565,Małgorzata,Amelian,K,71091116417,Wrocław,ul. Sosnowa 32/49,False,48024638905,m.amelia@onet.pl
566,Maciej,Dzierżak,M,85071325074,Słupsk,pl. Piastów Śląskich 43/16,False,48856685172,m_dzierzak@wp.pl
567,Tomasz,Janicki,M,00271769633,Strzelce Krajeńskie,ul. Kapturska 24/38,False,48045254965,tom.jan2000@vp.pl
568,Grażyna,Nurczyńska,K,76092720656,Bełchatów,ul. Kaniowska 59,False,48966060452,n29dva1val90e1p@gmail.com
569,Jerzy,Mainka,M,98081937072,Piekary Śląskie,ul. Warsztatowa 54/36,False,48137720557,mainka8@wp.pl
570,Maciej,Stępień,M,98101076419,Zgierz,ul. Maksymiliana Filipka 54,False,48780726732,m-st1998@gmail.com
571,Jan,Michalak,M,77062382874,Wrocław,ul. Krótka 84/37,False,48229489598,michala.ja77@gazeta.pl
572,Joachim,Bober,M,04281645215,Wrocław,ul. Promienna 51,False,48170432668,joa_bobe2004@onet.pl
573,Wiesław,Jędrzejewski,M,72032557593,Wrocław,ul. Słowika 36/49,False,48489848639,wie-jedrz1520@protonmail.com
574,Grzegorz,Tanasiewicz,M,03262059135,Wrocław,ul. Targowa 77,False,48051271864,otear2a2j1w@opayq.com
575,Bożena,Wodzisławska,K,80050668739,Wrocław,ul. Długa 88/40,False,48974166759,wodzislawska75532@gmail.com
576,Diana,Owczarzak,K,71110865799,Wrocław,ul. Piaskowa 48/48,False,48730572028,owczarzak19712@gmail.com
577,Patryk,Wnuk,M,90033029976,Wrocław,ul. Biała 2/5,False,48971617324,q64u986l1e@opayq.com
578,Serhii,Kołodziejski,M,83092087391,Wrocław,ul. Jarosława Dąbrowskiego 12/38,False,48879642428,serkolodzie83@wp.pl
579,Marek,Stasiowski,M,04220322913,Inowrocław,ul. Partyzantów 91/30,True,48279089961,stasiowsk.mare@interia.pl
580,Katarzyna,Sobala,K,09311448819,Wrocław,ul. Graniczna 63/17,False,48754384562,sobala094@gazeta.pl
581,Marcin,Kossek,M,97021078819,Lubowidz,ul. Cmentarna 51,True,48577591756,kossek19975@vp.pl
582,Teresa,Mikołajczyk,K,04232125379,Wrocław,ul. Osiedle II 96/48,False,48567747690,t_mikolajczyk2004@wp.pl
583,Laura,Ladowska,K,78121653874,Wrocław,ul. Asnyka 3,False,48065996464,l_ladowsk@gmail.com
584,Małgorzata,Zgondek,K,96101557255,Gorzów Wielkopolski,ul. Ks. Spendla 19,False,48522301014,srx3pss53pvu@opayq.com
585,Adam,Włodarski,M,83092749918,Wrocław,ul. Księdza Biskupa Zygmunta Łozińskiego 5,False,48967908948,a_wlodarski@gmail.com
586,Grzegorz,Pytel,M,86060525112,Aleksandrów Łódzki,ul. Emilii Plater 98,False,48992486834,pytel864@wp.pl
587,Adrian,Kowalczyk,M,04233146337,Wrocław,ul. Marszałka Józefa Piłsudskiego 46/46,True,48872108429,a.kowalc@gmail.com
588,Rafał,Szymańczyk,M,77051551519,Wrocław,ul. Godziszowska 92/48,True,48928019663,r_szym@onet.pl
589,Nina,Jaworska,K,85020339657,Polkowice,ul. Kazimierza Pułaskiego 55/24,False,48095966173,rro23xk4m46@o2.pl
590,Petro,Kałuziński,M,08321796633,Koszalin,ul. Rybaki Górne 88/28,False,48399359871,h2q3gz@opayq.com
591,Maria,Podlodowska,K,70111874137,Mysłowice,Aleja prof. Szczepana A. Pieniążka 27/23,False,48975631501,m-podlodowska70@gmail.com
592,Oktawian,Domański,M,72101069211,Wrocław,ul. Adama Poszwińskiego 62,False,48672009502,o-domans@o2.pl
593,Oleh,Rasilewicz,M,79113019733,Szczecin,ul. Klonowa 70/31,False,48913270784,o_rasilewicz79@gmail.com
594,Stanisław,Mechliński,M,10321220597,Gdańsk,ul. Kapucyńska 97,False,48203602003,smec@wp.pl
595,Celina,Muła,K,86031415477,Gdynia,ul. Kwiatowa 80,False,48173204650,mul_86@gmail.com
596,Alina,Uhruska,K,05321953013,Wrocław,ul. Olszynowa 36/27,False,48975336807,a.uhruska2005@int.pl
597,Michał,Kaczmarek,M,72042160714,Wrocław,ul. Przylesie 70/7,False,48389119348,kaczmarek4@gmail.com
598,Gina,Jońska,K,74102849719,Rzeszów,ul. Sikorek 18/9,False,48386329721,dwgu95q076tfu2o@gmail.com
599,Bożena,Kościelniak,K,93031052995,Wrocław,ul. Sportowa 54/49,False,48835522304,b.koscielniak@protonmail.com
600,Edward,Lenkiewicz,M,04212771752,Wrocław,ul. Bolesława Krysiewicza 68/8,False,48785315351,e.lenkiewicz2004@onet.pl
601,Patryk,Lysiuk,M,85042160417,Obrzycko,ul. Leśna 13,False,48427177222,lysiuk95269@o2.pl
602,Wiktor,Nwachukwu,M,79021227196,Wrocław,ul. Jeżynowa 16/38,False,48222011839,nwachukwu19793@onet.pl
603,Lasha,Vu,M,70111995216,Człopa,ul. Księdza Feliksa Zielińskiego 34/6,False,48802668047,hkdv24jef2yq372@opayq.com
604,Kaja,Kwiatek,K,86081185014,Wrocław,ul. Jałowcowa 92,False,48061678880,kaj-kwiate@interia.pl
605,Krzysztof,Shatokhin,M,80112117797,Wrocław,ul. Wrocławska 26/46,False,48949175879,shato.kr80@onet.pl
606,Paweł,Kochanek,M,84010492893,Poznań,ul. Marzenińska 7,False,48491914216,kochane-pawel84@interia.pl
607,Magdalena,Posheliuzna,K,98122367013,Zielona Góra,ul. ks. Tadeusza Leśniewicza 92/32,False,48606492874,q17525z9t9p7v@outlook.com
608,Agata,Majer,K,01250762298,Wrocław,ul. Zielona Laguna 30/41,False,48641390743,ama832@gmail.com
609,Mirosław,Szmidt,M,03290480954,Biskupiec,ul. Kanałowa 7/40,False,48632233148,mszmidt384@o2.pl
610,Piotr,Kosiński,M,00260505910,Wrocław,ul. Chabrowa 89,False,48000108067,p_kos00@o2.pl
611,Dominika,Cacek,K,97030498891,Jawor,ul. Strzelca 67/10,False,48709022765,d-cace565@gmail.com
612,Patrycja,Lis,K,88102795215,Tomaszów Mazowiecki,ul. Żwirowa 63/29,False,48816964557,patli8174@protonmail.com
613,Tomasz,Sokolviak,M,71053099336,Wrocław,ul. Sarnia 68/37,False,48992743703,t.sokolvia1971@interia.pl
614,Yan,Bąk,M,83122695376,Wrocław,ul. Ostrowskiego 45/26,False,48842831793,yzwk5cq14523yp@opayq.com
615,Zofia,Szocik,K,00300511299,Wrocław,ul. Platanowa 87/3,False,48824676435,zs00@o2.pl
616,Jolanta,Kołtuńska,K,82092797310,Wrocław,ul. Jana Kochanowskiego 61,False,48575889994,o5lj17x8vqdr25e@opayq.com
617,Halina,Wnukowska,K,83032690591,Dąbrowa Górnicza,ul. Rozwojowa 92/4,False,48432973500,wnukowska836@gmail.com
618,Bogusława,Nosenko,K,,Gdynia,ul. Robotnicza 63/32,False,48980600594,nosenko19779@gmail.com
619,Martyna,Szopińska,K,03320888437,Wrocław,ul. Ciesielska 91/18,False,48683459584,m.szopinska2003@interia.pl
620,Dawid,Dziemian,M,86080539173,Wrocław,ul. Kolejowa 54/45,False,48089628158,dziemiad1986@gmail.com
621,Michał,Sankowski,M,78100873958,Włocławek,pl. Nowy Rynek 19,False,48055750097,msank1693@onet.pl
622,Natalia,Burova,K,86051777777,Wrocław,ul. Stawowa 68/12,False,48582206397,burov.nata@wp.pl
623,James,Kolybacz,M,80072627279,Świebodzin,ul. Sasanki 58,False,48520229580,kolybacz809@gmail.com
624,Marek,Zychowicz,M,86020160032,Kołobrzeg,ul. Krańcowa 66/23,False,48308536770,s0434ijn@opayq.com
625,Krystian,Góra,M,99041178317,Sopot,ul. Słoneczna 37/25,False,48670753784,k-gor@onet.pl
626,Marek,Orzeł,M,80070263691,Wrocław,ul. Jagodowa 8/48,False,48709136634,m-orzel1980@interia.pl
627,Aleksander,Breske,M,71070186158,Świebodzin,ul. Ignacego Daszyńskiego 77/20,False,48674680119,a.b@gmail.com
628,Roman,Bliszcz,M,77031224213,Jelenia Góra,ul. Rodzinna 40/1,False,48015214169,bli-roman77@protonmail.com
629,Natalia,Wasielewska,K,97121523831,Tomaszów Mazowiecki,ul. Rynkowa 26/11,False,48644083954,natwasiele97@o2.pl
630,Monika,Borysova,K,91101212733,Sochaczew,ul. Piaseczyńska 52/46,False,48057931453,mon.bor@gmail.com
631,Edyta,Tomicki,K,02210757774,Wrocław,ul. Aleksandra Fredry 4,True,48628919590,edytomick@wp.pl
632,Marcin,Janiashvili,M,71032356799,Bytom,ul. Żurawia 57/34,False,48372170378,janiashvili2@onet.pl
633,Mateusz,Murawski,M,01213105751,Ostróda,ul. Bratków 6,False,48388535959,m.murawski@o2.pl
634,Valentyna,Kosikowska,K,10321822232,Toruń,ul. Zielona 82/46,False,48295657511,valkosikow@gmail.com
635,Jan,Szymanik,M,04211036535,Imielin,ul. Łączna 86,False,48890422146,jan-szymani@onet.pl
636,Ewa,Halbgewachs,K,84031753399,Goleniów,ul. Mikołaja Kopernika 53/7,False,48471723873,xoi10ox0qfdg630@gmail.com
637,Magdalena,Banaszak,K,00241532319,Sulechów,ul. Władysława Jagiełły 55/9,False,48603179392,magbanasz2000@gmail.com
638,Aneta,Łakomiec,K,10290205737,Poznań,Rynek 71,False,48665726691,a-lakomiec@gmail.com
639,Karol,Zygmański,M,73042538299,Wrocław,ul. Mostowa 93,False,48134672628,k-zygmanski1973@wp.pl
640,Krystyna,Szechner,K,04250488412,Rzepin,ul. Wiatraków 15/4,False,48256922693,k_szechne@wp.pl
641,Dorota,Frygier,K,78062689473,Piława Górna,ul. ks. Ignacego Skorupki 31,True,48767896451,d.frygier4587@protonmail.com
642,Tomasz,Milde,M,91090384914,Kluczbork,ul. Rodziny Balków 47/28,False,48983144415,milde4@gmail.com
643,Łucja,Modzelewska,K,79021832714,Wałbrzych,ul. Goleszan 57/19,False,48616293924,ledi2xdqm@onet.pl
644,Łukasz,Bucior,M,08301619794,Rzeszów,ul. Mała 24/50,True,48705456607,bu_lu08@o2.pl
645,Kacper,Baran,M,71013100579,Wrocław,pl. Erazma Glicznera 75,False,48562833676,baran719@wp.pl
646,Józef,Tomczak,M,92070177014,Wrocław,ul. Tylna 18/44,False,48353939638,joz-tomcza@wp.pl
647,Patryk,Matyjaszczyk,M,73062355917,Białystok,ul. Królowego Mostu 30/51,False,48309543299,p.m9144@gmail.com
648,Franciszek,Dąbkiewicz,M,71122715079,Nysa,ul. Ryszarda Chomicza 67,False,48445558426,qx4qo0n@vp.pl
649,Karol,Witkowski,M,05251234897,Wrocław,al. Aleja Polski Walczącej 49/3,False,48374717454,witk-karol2005@interia.pl
650,Mariusz,Tyras,M,89122859893,Wrocław,ul. Maksymiliana Brokoffa 14/45,False,48219988188,tyras6@o2.pl
651,Kazimierz,Czarnecki,M,83100940698,Wrocław,ul. Konwaliowa 50/38,False,48086124598,kaz.czarneck83@gmail.com
652,Dorota,Roberts,K,77012201952,Kwidzyn,ul. Piaskowa 73/19,False,48394718719,d_r1977@o2.pl
653,Adelajda,Malesza,K,96022999972,Zielona Góra,ul. Stefana Żeromskiego 33,False,48430945104,malesza19968@o2.pl
654,Tomasz,Guzdek,M,79043082256,Wrocław,ul. Budowlanych 96/8,False,48303485154,t-guzdek1979@gmail.com
655,Alesia,Michnol,K,71031267131,Tuczno,ul. Towarnickiego 80/42,False,48600711135,amic@wp.pl
656,Dariusz,Pawełczak,M,05260284412,Wrocław,ul. Osiedlowa 8/26,False,48894022924,d481044gb2b93qquc@opayq.com
657,Miłosz,Dejas,M,06232636372,Wrocław,ul. Modrzewiowa 72,False,48359525370,mdejas2006@onet.pl
658,Sandra,Andrukiewicz,K,97091527792,Resko,ul. Rzeczna 21,False,48181912638,sandr@gmail.com
659,Gabriela,Kłudka,K,85042089392,Wrocław,ul. Polna 51/26,False,48810608120,gab-kludk@interia.pl
660,Izabela,Długokęcka,K,73061426511,Wrocław,ul. Klonowa 60,False,48538605689,dlugo_i@gmail.com
661,Katherine,Podlaszewska,K,85061458553,Kielce,ul. Cicha 62/45,False,48462866630,xlw8p60b098w@outlook.com
662,Nikola,Skrynnikova,K,00320567339,Wrocław,ul. Konecka 70,False,48501120203,jo3mf5oa17l42097sp@opayq.com
663,Jerzy,Sobiesiak,M,06212127076,Warszawa,ul. Wczasowa 53/43,False,48426937627,j_sobiesiak2006@interia.pl
664,Stanisław,Piętka,M,01320712552,Piła,ul. Kawaleryjska 2/47,False,48470183552,spietka2001@interia.pl
665,Barbara,Kapuścińska,K,01262543434,Wrocław,ul. Łąkowa 26,False,48859258802,kapusc.b@gmail.com
666,Katarzyna,Skrzypińska,K,07260300613,Warszawa,ul. Źródlana 52/15,False,48675078200,gtx9ieell@opayq.com
667,Marek,Drabik,M,74090178631,Wrocław,ul. Wodna 82/1,True,48640228958,mar.dra1974@o2.pl
668,Aleksandra,Zielińska,K,78032371270,Głubczyce,ul. Marii Curie-Skłodowskiej 60/28,False,48547778678,a-z1978@outlook.com
669,Grzegorz,Bajon,M,00270128370,Wrocław,ul. Głogowa 93/17,False,48583886448,g.bajon@o2.pl
670,Karolina,Guz,K,75013023432,Wrocław,ul. Zuzanka 79/20,False,48963273229,guz19751@wp.pl
671,Krystyna,Kania,K,71123177618,Stargard,ul. Aleksandra Janowskiego 97/45,False,48019619872,k.kan71@yahoo.com
672,Natalia,Werner,K,96031869954,Wrocław,ul. Heweliusza 11/8,False,48507154789,nat_wern@wp.pl
673,Halina,Rucińska,K,01292884172,Lublin,ul. Kwiatowa 94/32,False,48748771570,h-rucinska01@o2.pl
674,Monika,Kucharczyk,K,85070734594,Wrocław,ul. Jana Pawła II 59/48,False,48013080262,m-kucharczyk@gmail.com
675,Kasper,Sławuta,M,92022200672,Strzelce Krajeńskie,ul. Dworcowa 75/19,False,48301856415,k-slawuta@gmail.com
676,Jan,Wodecki,M,97021064331,Wrocław,ul. Osiedlowa 12/18,False,48563446782,gc2nqr3d4okd762@opayq.com
677,Aleksander,Kasza,M,87110127876,Wrocław,ul. Szpitalna 45/36,False,48845091556,a-kasza87@o2.pl
678,Eugenia,Wei,K,10301757992,Zielonka,ul. Miodowa 53/8,False,48629187089,we.@interia.pl
